+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0058      | 0.14          | 4.24         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0052      | 0.12          | 3.8          |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0093      | 0.22          | 6.79         |
| t4g.nano            | 2    | arm64      | 0.5      | None      | N/A          | N/A           | N/A          |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.02        | 0.48          | 14.61        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0162      | 0.39          | 11.84        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0196      | 0.47          | 14.32        |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0186      | 0.45          | 13.59        |
| t4g.micro           | 2    | arm64      | 1.0      | None      | N/A          | N/A           | N/A          |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.075       | 1.8           | 54.79        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.13        | 3.12          | 94.97        |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c6gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.05132     | 1.23          | 37.49        |
| c7g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.032       | 0.77          | 23.38        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0208      | 0.5           | 15.2         |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0372      | 0.89          | 27.18        |
| t4g.small           | 2    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.087       | 2.09          | 63.56        |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.067       | 1.61          | 48.95        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.188       | 4.51          | 137.35       |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.192       | 4.61          | 140.27       |
| m6g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.10396     | 2.5           | 75.95        |
| m7g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.177       | 4.25          | 129.31       |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.169       | 4.06          | 123.46       |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        |  0.178       | 4.27          | 130.04       |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.188       | 4.51          | 137.35       |
